# nb_processes 4096_local 8192_local 16384_local 32768_local 4096 8192 16384 32768
1  9.386960e-01 2.802415e+00 9.972477e+00 4.356470e+01  9.386960e-01 2.802415e+00 9.972477e+00 4.356470e+01
2  9.386960e-01 2.802415e+00 9.972477e+00 4.356470e+01 3.867590e-01 1.683851e+00 5.401402e+00 3.842433e+01
4  9.386960e-01 2.802415e+00 9.972477e+00 4.356470e+01 1.446980e-01 1.034261e+00 2.856397e+00 2.177190e+01
8  9.386960e-01 2.802415e+00 9.972477e+00 4.356470e+01 1.138540e-01 4.161720e-01 1.658790e+00 1.196421e+01
