# nb_procs 4096 8192 16384 32768
1  5.937232e+00 2.398054e+01 9.508898e+01 3.781629e+02
2  3.110486e+00 1.233652e+01 4.841856e+01 2.037068e+02
4  1.613003e+00 6.262157e+00 2.474014e+01 1.019618e+02
8  1.019661e+00 3.455835e+00 1.326259e+01 5.567321e+01
16  9.511680e-01 2.663936e+00 9.270972e+00 3.997737e+01
