# nb_procs SEQ_4096 SEQ_8192 SEQ_16384 SEQ_32768 OMP_4096 OMP_8192 OMP_16384 OMP_32768 PTHREADS_4096 PTHREADS_8192 PTHREADS_16384 PTHREADS_32768 MPI_SEQ_SYNC_4096 MPI_SEQ_SYNC_8192 MPI_SEQ_SYNC_16384 MPI_SEQ_SYNC_32768 MPI_SEQ_ASYNC_4096 MPI_SEQ_ASYNC_8192 MPI_SEQ_ASYNC_16384 MPI_SEQ_ASYNC_32768
1   5.933591e+00 2.393889e+01 9.475063e+01 3.830219e+02  5.810750e+00 2.355245e+01 9.403594e+01 3.756824e+02  5.937232e+00 2.398054e+01 9.508898e+01 3.781629e+02  6.102017e+00 2.398160e+01 9.516306e+01 3.811727e+02  6.094484e+00 2.405189e+01 9.500214e+01 3.828226e+02
2   5.933591e+00 2.393889e+01 9.475063e+01 3.830219e+02  2.951026e+00 1.196379e+01 4.774395e+01 1.909840e+02  3.110486e+00 1.233652e+01 4.841856e+01 2.037068e+02  3.228387e+00 1.214148e+01 4.775372e+01 2.789621e+02  3.216946e+00 1.212322e+01 4.786380e+01 1.936610e+02
4   5.933591e+00 2.393889e+01 9.475063e+01 3.830219e+02  1.570856e+00 6.189865e+00 2.486782e+01 9.868775e+01  1.613003e+00 6.262157e+00 2.474014e+01 1.019618e+02  1.720000e+00 6.185767e+00 2.390173e+01 1.301046e+02  1.659450e+00 6.172097e+00 2.399991e+01 9.609093e+01
8   5.933591e+00 2.393889e+01 9.475063e+01 3.830219e+02  9.832890e-01 4.010814e+00 1.661331e+01 6.752559e+01  1.019661e+00 3.455835e+00 1.326259e+01 5.567321e+01  7.572160e-01 3.214217e+00 1.199553e+01 8.265047e+01  6.836740e-01 3.200482e+00 1.203703e+01 7.699014e+01
16   5.933591e+00 2.393889e+01 9.475063e+01 3.830219e+02  9.500490e-01 2.790089e+00 1.030465e+01 4.860979e+01  9.511680e-01 2.663936e+00 9.270972e+00 3.997737e+01  
