# nb_processes 4096 8192 16384 32768
1  6.102017e+00 2.398160e+01 9.516306e+01 3.811727e+02
2  3.228387e+00 1.214148e+01 4.775372e+01 2.789621e+02
4  1.720000e+00 6.185767e+00 2.390173e+01 1.301046e+02
8  7.572160e-01 3.214217e+00 1.199553e+01 8.265047e+01
